case_name,trial_idx,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng4,3,post_recovery_blend,10.0,4.0,2.0,21,20.0,14.71610654990334,8.47618602300538,0.8842827152795302,14.71610654990334,8.47618602300538,0.8842827152795302,14.71610654990334,133,60,73,False
multi_tiaosheng4,4,post_recovery_blend,10.0,0.5,5.0,15,20.0,6.912603382758565,4.230692439235952,0.9677007912834391,6.912603382758565,4.230692439235952,0.9677007912834391,6.912603382758565,133,60,73,False
multi_tiaosheng4,5,current,40.0,4.0,0.5,21,16.5,2.5483974750382297,1.6721933893515455,0.6061450850994128,2.5483974750382297,1.6769853374835944,0.6069080245525378,2.5565009371529555,133,60,73,False
multi_tiaosheng4,6,raw_peak,100.0,30.0,0.5,5,14.5,3.2164845924925123,2.202293604724728,0.9683612362739245,3.2164845924925123,2.2029819711486005,0.9698871151801745,3.2164845924925123,133,60,73,False
multi_tiaosheng4,7,fallback_slew_to_raw_peak,30.0,0.5,3.0,7,13.5,6.532499316904985,3.9401539008990425,0.7861336447584796,6.532499316904985,4.001148672985509,0.8713387228834796,6.573595207315945,133,60,73,False
multi_tiaosheng4,8,all_peaks_with_raw_fallback,25.0,20.0,8.0,9,14.5,2.282532429721236,1.548879445357152,0.656268314380849,2.282532429721236,1.545093430025855,0.656268314380849,2.2756346209669553,133,60,73,False
multi_tiaosheng4,9,all_peaks_near_prev,70.0,10.0,2.0,41,14.0,2.7312203906805648,1.7130244426272074,0.4742193724956232,2.7312203906805648,1.718531374018185,0.4757452514018732,2.739999420004195,133,60,73,False
multi_tiaosheng4,10,current,20.0,2.0,2.0,3,17.5,8.554742615635922,5.234961175144795,1.1958937558805938,8.554742615635922,5.235649541568668,1.1951308164274688,8.55662383620527,133,60,73,False
multi_tiaosheng4,11,fallback_slew_to_raw_peak,60.0,10.0,8.0,11,14.5,2.4503373890256572,1.602443374348182,0.5708389898239205,2.4503373890256572,1.601410824712374,0.5708389898239205,2.4484561684563078,133,60,73,False
multi_tiaosheng4,12,all_peaks_with_raw_fallback,25.0,25.0,10.0,9,14.5,2.282532429721236,1.548879445357152,0.656268314380849,2.282532429721236,1.545093430025855,0.656268314380849,2.2756346209669553,133,60,73,False
multi_tiaosheng4,13,all_peaks_with_raw_fallback,20.0,15.0,5.0,9,14.5,2.618670593248633,1.733376332105272,0.656268314380849,2.618670593248633,1.7664537155051778,0.656268314380849,2.678934867114215,133,60,73,False
multi_tiaosheng4,14,all_peaks_near_prev,20.0,2.0,8.0,11,20.0,9.367416142204767,5.571307894029277,0.9527095254157639,9.367416142204767,5.562801611407194,0.9527095254157639,9.351918394413849,133,60,73,False
multi_tiaosheng4,15,fallback_slew_to_raw_peak,40.0,12.0,15.0,7,13.5,2.9478032979114515,1.9738733122233851,0.7889251629695709,2.9478032979114515,1.9745616786472573,0.7904510418758209,2.9478032979114515,133,60,73,False
multi_tiaosheng4,16,all_peaks_with_raw_fallback,25.0,20.0,3.0,13,13.5,5.123453717213826,3.061605445844564,0.5530233823452975,5.123453717213826,3.0838176536100717,0.5530233823452975,5.163922534101668,133,60,73,False
multi_tiaosheng4,17,raw_peak,15.0,6.0,1.5,3,14.5,3.51434451597282,2.3902176384418334,1.0225299374457995,3.51434451597282,2.3915943712895777,1.0232928768989245,3.5162257365421694,133,60,73,False
multi_tiaosheng4,18,all_peaks_near_prev,90.0,2.0,5.0,7,14.5,3.1800191970352105,2.1693797745266643,0.9397684771412657,3.1800191970352105,2.1700681409505367,0.9412943560475157,3.1800191970352105,133,60,73,False
multi_tiaosheng4,19,post_motion_slew,30.0,4.0,10.0,9,14.5,2.5780011128333937,1.711053985711945,0.656268314380849,2.5780011128333937,1.711053985711945,0.656268314380849,2.5780011128333937,133,60,73,False
