record_id,scene,lane,spectral_gate_pass,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,complete_window_evidence_pass,hr_band_share_delta_pass,prominence_db_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,visible_top3_rate_delta_pass,identity_sha256,result_sha256
xiezi2_LYX_0708,xiezi,two_stage_zero_update,True,164,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
xiezi2_LYX_0708,xiezi,rank1_only_adaptive,True,164,0,0.012092225533205436,0.006097560975609756,-0.007016248683966386,0.993292988553644,0.002593022660396526,True,True,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
xiezi2_LYX_0708,xiezi,rank2_only_adaptive,True,164,0,-0.08287237192986607,0.0,-0.010221353521593896,0.9892680484161381,0.009873256723778461,True,True,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
xiezi2_LYX_0708,xiezi,ranked_cascade_adaptive,False,164,0,-0.1713532914726308,0.012195121951219513,-0.02420185865899971,0.9596464729648138,-0.0004045972976914336,True,False,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
xiezi2_LYX_0708,xiezi,reverse_cascade_adaptive,False,164,0,-0.1621290207730685,0.012195121951219513,-0.026681562380426016,0.9522043666311006,-0.0005138447878520122,True,False,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
xiezi3_LYX_0708,xiezi,raw_bypass,True,166,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi3_LYX_0708,xiezi,two_stage_zero_update,True,166,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi3_LYX_0708,xiezi,rank1_only_adaptive,True,166,0,-0.06622253876561907,0.006024096385542169,-0.003925959889488573,1.002487676266644,0.004499665331335358,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi3_LYX_0708,xiezi,rank2_only_adaptive,True,166,0,-0.0836054648814466,0.0,-0.006937192038107554,0.9886138578568625,0.0011367720466550768,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi3_LYX_0708,xiezi,ranked_cascade_adaptive,True,166,0,-0.18403656464664042,0.012048192771084338,-0.017392694165362876,0.9813716136001589,0.00290467230444922,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi3_LYX_0708,xiezi,reverse_cascade_adaptive,True,166,0,-0.16202236180431306,0.006024096385542169,-0.01639889032955673,0.9809565054036014,0.0045631731152869295,True,True,True,True,True,True,5a123ace188e86b0e20e4981a989cfc7dc36e423b6f2e1dca71c91e6f0e16a2a,a6474d1f39e6be2fbf76acf114f11b157fe2e4ab1192bfd36413794150b577ab
xiezi4_LYX_0708,xiezi,raw_bypass,True,165,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
xiezi4_LYX_0708,xiezi,two_stage_zero_update,True,165,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
xiezi4_LYX_0708,xiezi,rank1_only_adaptive,True,165,0,0.06195966918147233,-0.006060606060606061,-0.004756642015993129,0.9966629517190478,-0.013636064118501018,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
xiezi4_LYX_0708,xiezi,rank2_only_adaptive,True,165,0,-0.07968021904473144,0.006060606060606061,-0.008870676469176206,0.980240318104381,-3.2778099346875145e-05,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
xiezi4_LYX_0708,xiezi,ranked_cascade_adaptive,True,165,0,-0.039410397973091094,-0.01818181818181818,-0.01435543293412822,0.9779716511190124,-0.02016064326182969,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
xiezi4_LYX_0708,xiezi,reverse_cascade_adaptive,True,165,0,-0.028777297378292488,-0.012121212121212121,-0.014888875064097112,0.9747602839162618,-0.01690875461003867,True,True,True,True,True,True,02ce192c85acf0c28b7e45a9faee1d3fbc8ec0110d9d05d5b6e246aad175fcd7,68aa62b8189d44573461aa164a1925bfd8cc692da6fe117d783a0236411ec44c
